publisher_docid;batchid_out;status;time_stamp
week17a_10_5752399_5699349;;noPdf;20110622_001234
week17a_100_5751609_5751990;;noPdf;20110622_001234
week17a_1014_12510_576802;week17a.zip;ok;20110622_001238
week17a_10182_32508_1518766;;ignored;20110622_001238
week17a_10207_5605610_5605629;;noPdf;20110622_001238
week17a_16_5753310_5720301;;noPdf;20110622_001238
week17a_18_5752414_5752445;;noPdf;20110622_001238
week17a_18_5752414_5752449;;noPdf;20110622_001238
week17a_19_4314746_4314762;;noPdf;20110622_001238
week17a_2_24324_1106183;;noPdf;20110622_001238
week17a_2_24324_1250890;;noPdf;20110622_001238
week17a_2_24324_1377051;;noPdf;20110622_001238
week17a_2_27996_1106183;;noPdf;20110622_001238
week17a_2_27996_1250890;;noPdf;20110622_001238
week17a_2_27996_1377051;;noPdf;20110622_001238
week17a_2_30050_1106183;;noPdf;20110622_001238
week17a_2_30050_1250890;;noPdf;20110622_001238
week17a_2_30050_1377051;;noPdf;20110622_001238
week17a_20_5754657_5757080;;noPdf;20110622_001238
week17a_2220_5710037_5710047;;noPdf;20110622_001238
week17a_25_5713041_5713042;;noPdf;20110622_001238
week17a_28_5733949_5733950;;noPdf;20110622_001238
week17a_2943_4711378_4711388;;noPdf;20110622_001238
week17a_2944_5655207_5657204;;noPdf;20110622_001240
week17a_2945_5629311_5629315;;noPdf;20110622_001240
week17a_3_4810181_5756492;;noPdf;20110622_001240
week17a_3_4815927_5757078;;noPdf;20110622_001240
week17a_3_5308578_5338005;;noPdf;20110622_001240
week17a_3_5308578_5638353;;noPdf;20110622_001240
week17a_3_5420224_5756492;;noPdf;20110622_001240
week17a_3_5424131_5757078;;noPdf;20110622_001240
week17a_3_5594817_5338005;;noPdf;20110622_001240
week17a_3_5594817_5638353;;noPdf;20110622_001240
week17a_3_5738950_5756492;;noPdf;20110622_001240
week17a_3_5746818_5757078;;noPdf;20110622_001240
week17a_38_25981_1159609;;noPdf;20110622_001240
week17a_38_25981_1255803;;noPdf;20110622_001240
week17a_38_25981_1381229;;noPdf;20110622_001240
week17a_38_25981_1573623;;noPdf;20110622_001240
week17a_38_25981_4052490;;noPdf;20110622_001240
week17a_38_25981_4418742;;noPdf;20110622_001240
week17a_38_26599_4797510;;noPdf;20110622_001240
week17a_38_28096_1159609;;noPdf;20110622_001240
week17a_38_28096_1255803;;noPdf;20110622_001240
week17a_38_28096_1381229;;noPdf;20110622_001240
week17a_38_28096_1573623;;noPdf;20110622_001240
week17a_38_28096_4052490;;noPdf;20110622_001240
week17a_38_28096_4418742;;noPdf;20110622_001240
week17a_38_28513_4797510;;noPdf;20110622_001240
week17a_38_30111_1159609;;noPdf;20110622_001240
week17a_38_30111_1255803;;noPdf;20110622_001240
week17a_38_30111_1381229;;noPdf;20110622_001240
week17a_38_30111_1573623;;noPdf;20110622_001240
week17a_38_30111_4052490;;noPdf;20110622_001240
week17a_38_30111_4418742;;noPdf;20110622_001240
week17a_38_30489_4797510;;noPdf;20110622_001240
week17a_38_33273_1159609;;noPdf;20110622_001240
week17a_38_33273_1255803;;noPdf;20110622_001240
week17a_38_33273_1381229;;noPdf;20110622_001240
