publisher_docid;XP;batchid;time_stamp
week17b_10133_32429_1514002;XP031861385;IEEECONFERENCE_week17b.xml;20110624_165519
week17b_10133_32429_1514002;XP031861385;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165519
week17b_10133_32429_1514002;XP031861385;XP031861385.pdf;20110624_165519
week17b_10231_32631_1527949;XP031861386;IEEECONFERENCE_week17b.xml;20110624_165519
week17b_10231_32631_1527949;XP031861386;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165519
week17b_10231_32631_1527949;XP031861386;XP031861386.pdf;20110624_165519
week17b_1028_5760826_5760827;XP031861387;IEEECONFERENCE_week17b.xml;20110624_165519
week17b_1028_5760826_5760827;XP031861387;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165519
week17b_1028_5760826_5760827;XP031861387;XP031861387.pdf;20110624_165519
week17b_1028_5760826_5760828;XP031861388;IEEECONFERENCE_week17b.xml;20110624_165519
week17b_1028_5760826_5760828;XP031861388;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165519
week17b_1028_5760826_5760828;XP031861388;XP031861388.pdf;20110624_165519
week17b_1028_5760826_5760829;XP031861389;IEEECONFERENCE_week17b.xml;20110624_165519
week17b_1028_5760826_5760829;XP031861389;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165519
week17b_1028_5760826_5760829;XP031861389;XP031861389.pdf;20110624_165519
week17b_1028_5760826_5760830;XP031861390;IEEECONFERENCE_week17b.xml;20110624_165519
week17b_1028_5760826_5760830;XP031861390;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165519
week17b_1028_5760826_5760830;XP031861390;XP031861390.pdf;20110624_165519
week17b_1028_5760826_5760831;XP031861391;IEEECONFERENCE_week17b.xml;20110624_165519
week17b_1028_5760826_5760831;XP031861391;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165519
week17b_1028_5760826_5760831;XP031861391;XP031861391.pdf;20110624_165519
week17b_1028_5760826_5760832;XP031861392;IEEECONFERENCE_week17b.xml;20110624_165519
week17b_1028_5760826_5760832;XP031861392;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165519
week17b_1028_5760826_5760832;XP031861392;XP031861392.pdf;20110624_165519
week17b_1028_5760826_5760833;XP031861393;IEEECONFERENCE_week17b.xml;20110624_165519
week17b_1028_5760826_5760833;XP031861393;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165519
week17b_1028_5760826_5760833;XP031861393;XP031861393.pdf;20110624_165519
week17b_1028_5760826_5760834;XP031861394;IEEECONFERENCE_week17b.xml;20110624_165519
week17b_1028_5760826_5760834;XP031861394;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165519
week17b_1028_5760826_5760834;XP031861394;XP031861394.pdf;20110624_165519
week17b_1028_5760826_5760835;XP031861395;IEEECONFERENCE_week17b.xml;20110624_165519
week17b_1028_5760826_5760835;XP031861395;P1X.DF.PX.IEEECONF.D110624.G02.xml;20110624_165519
week17b_1028_5760826_5760835;XP031861395;XP031861395.pdf;20110624_165519
