publisher_docid;batchid_in;time_stamp
week17a_10_5752399_5699349;InspecMetadata/week17a/XML.zip;20110622_001229
week17a_10_5752399_5699349;IEEEper/week17a/10.zip;20110622_001229
week17a_100_5751609_5751990;InspecMetadata/week17a/XML.zip;20110622_001241
week17a_100_5751609_5751990;IEEEper/week17a/100.zip;20110622_001241
week17a_1014_12510_576802;InspecMetadata/week17a/XML.zip;20110622_001242
week17a_1014_12510_576802;IEEEper/week17a/1014.zip;20110622_001242
week17a_10182_32508_1518766;InspecMetadata/week17a/XML.zip;20110622_001242
week17a_10182_32508_1518766;IEEEper/week17a/10182.zip;20110622_001242
week17a_10207_5605610_5605629;InspecMetadata/week17a/XML.zip;20110622_001242
week17a_10207_5605610_5605629;IEEEper/week17a/10207.zip;20110622_001242
week17a_16_5753310_5720301;InspecMetadata/week17a/XML.zip;20110622_001243
week17a_16_5753310_5720301;IEEEper/week17a/16.zip;20110622_001243
week17a_18_5752414_5752445;InspecMetadata/week17a/XML.zip;20110622_001244
week17a_18_5752414_5752445;IEEEper/week17a/18.zip;20110622_001244
week17a_18_5752414_5752449;InspecMetadata/week17a/XML.zip;20110622_001246
week17a_18_5752414_5752449;IEEEper/week17a/18.zip;20110622_001246
week17a_19_4314746_4314762;InspecMetadata/week17a/XML.zip;20110622_001250
week17a_19_4314746_4314762;IEEEper/week17a/19.zip;20110622_001250
week17a_2_24324_1106183;InspecMetadata/week17a/XML.zip;20110622_001251
week17a_2_24324_1106183;IEEEper/week17a/2.zip;20110622_001251
week17a_2_24324_1250890;InspecMetadata/week17a/XML.zip;20110622_001251
week17a_2_24324_1250890;IEEEper/week17a/2.zip;20110622_001251
week17a_2_24324_1377051;InspecMetadata/week17a/XML.zip;20110622_001251
week17a_2_24324_1377051;IEEEper/week17a/2.zip;20110622_001251
week17a_2_27996_1106183;InspecMetadata/week17a/XML.zip;20110622_001251
week17a_2_27996_1106183;IEEEper/week17a/2.zip;20110622_001251
week17a_2_27996_1250890;InspecMetadata/week17a/XML.zip;20110622_001251
week17a_2_27996_1250890;IEEEper/week17a/2.zip;20110622_001251
week17a_2_27996_1377051;InspecMetadata/week17a/XML.zip;20110622_001251
week17a_2_27996_1377051;IEEEper/week17a/2.zip;20110622_001251
week17a_2_30050_1106183;InspecMetadata/week17a/XML.zip;20110622_001251
week17a_2_30050_1106183;IEEEper/week17a/2.zip;20110622_001251
week17a_2_30050_1250890;InspecMetadata/week17a/XML.zip;20110622_001251
week17a_2_30050_1250890;IEEEper/week17a/2.zip;20110622_001251
week17a_2_30050_1377051;InspecMetadata/week17a/XML.zip;20110622_001252
week17a_2_30050_1377051;IEEEper/week17a/2.zip;20110622_001252
week17a_20_5754657_5757080;InspecMetadata/week17a/XML.zip;20110622_001252
week17a_20_5754657_5757080;IEEEper/week17a/20.zip;20110622_001252
week17a_2220_5710037_5710047;InspecMetadata/week17a/XML.zip;20110622_001252
week17a_2220_5710037_5710047;IEEEper/week17a/2220.zip;20110622_001252
week17a_25_5713041_5713042;InspecMetadata/week17a/XML.zip;20110622_001252
week17a_25_5713041_5713042;IEEEper/week17a/25.zip;20110622_001252
week17a_28_5733949_5733950;InspecMetadata/week17a/XML.zip;20110622_001252
week17a_28_5733949_5733950;IEEEper/week17a/28.zip;20110622_001252
week17a_2943_4711378_4711388;InspecMetadata/week17a/XML.zip;20110622_001252
week17a_2943_4711378_4711388;IEEEper/week17a/2943.zip;20110622_001252
week17a_2944_5655207_5657204;InspecMetadata/week17a/XML.zip;20110622_001254
week17a_2944_5655207_5657204;IEEEper/week17a/2944.zip;20110622_001254
week17a_2945_5629311_5629315;InspecMetadata/week17a/XML.zip;20110622_001254
week17a_2945_5629311_5629315;IEEEper/week17a/2945.zip;20110622_001254
week17a_3_4810181_5756492;InspecMetadata/week17a/XML.zip;20110622_001254
week17a_3_4810181_5756492;IEEEper/week17a/3.zip;20110622_001254
week17a_3_4815927_5757078;InspecMetadata/week17a/XML.zip;20110622_001254
week17a_3_4815927_5757078;IEEEper/week17a/3.zip;20110622_001254
week17a_3_5308578_5338005;InspecMetadata/week17a/XML.zip;20110622_001254
week17a_3_5308578_5338005;IEEEper/week17a/3.zip;20110622_001254
week17a_3_5308578_5638353;InspecMetadata/week17a/XML.zip;20110622_001254
week17a_3_5308578_5638353;IEEEper/week17a/3.zip;20110622_001254
week17a_3_5420224_5756492;InspecMetadata/week17a/XML.zip;20110622_001254
week17a_3_5420224_5756492;IEEEper/week17a/3.zip;20110622_001254
week17a_3_5424131_5757078;InspecMetadata/week17a/XML.zip;20110622_001254
week17a_3_5424131_5757078;IEEEper/week17a/3.zip;20110622_001254
week17a_3_5594817_5338005;InspecMetadata/week17a/XML.zip;20110622_001254
week17a_3_5594817_5338005;IEEEper/week17a/3.zip;20110622_001254
week17a_3_5594817_5638353;InspecMetadata/week17a/XML.zip;20110622_001254
week17a_3_5594817_5638353;IEEEper/week17a/3.zip;20110622_001254
week17a_3_5738950_5756492;InspecMetadata/week17a/XML.zip;20110622_001254
week17a_3_5738950_5756492;IEEEper/week17a/3.zip;20110622_001254
week17a_3_5746818_5757078;InspecMetadata/week17a/XML.zip;20110622_001254
week17a_3_5746818_5757078;IEEEper/week17a/3.zip;20110622_001254
week17a_38_25981_1159609;InspecMetadata/week17a/XML.zip;20110622_001254
week17a_38_25981_1159609;IEEEper/week17a/38.zip;20110622_001254
week17a_38_25981_1255803;InspecMetadata/week17a/XML.zip;20110622_001255
week17a_38_25981_1255803;IEEEper/week17a/38.zip;20110622_001255
week17a_38_25981_1381229;InspecMetadata/week17a/XML.zip;20110622_001255
week17a_38_25981_1381229;IEEEper/week17a/38.zip;20110622_001255
week17a_38_25981_1573623;InspecMetadata/week17a/XML.zip;20110622_001255
week17a_38_25981_1573623;IEEEper/week17a/38.zip;20110622_001255
week17a_38_25981_4052490;InspecMetadata/week17a/XML.zip;20110622_001255
week17a_38_25981_4052490;IEEEper/week17a/38.zip;20110622_001255
week17a_38_25981_4418742;InspecMetadata/week17a/XML.zip;20110622_001255
week17a_38_25981_4418742;IEEEper/week17a/38.zip;20110622_001255
week17a_38_26599_4797510;InspecMetadata/week17a/XML.zip;20110622_001255
week17a_38_26599_4797510;IEEEper/week17a/38.zip;20110622_001255
week17a_38_28096_1159609;InspecMetadata/week17a/XML.zip;20110622_001255
week17a_38_28096_1159609;IEEEper/week17a/38.zip;20110622_001255
week17a_38_28096_1255803;InspecMetadata/week17a/XML.zip;20110622_001255
week17a_38_28096_1255803;IEEEper/week17a/38.zip;20110622_001255
week17a_38_28096_1381229;InspecMetadata/week17a/XML.zip;20110622_001255
week17a_38_28096_1381229;IEEEper/week17a/38.zip;20110622_001255
week17a_38_28096_1573623;InspecMetadata/week17a/XML.zip;20110622_001255
week17a_38_28096_1573623;IEEEper/week17a/38.zip;20110622_001255
week17a_38_28096_4052490;InspecMetadata/week17a/XML.zip;20110622_001255
week17a_38_28096_4052490;IEEEper/week17a/38.zip;20110622_001255
week17a_38_28096_4418742;InspecMetadata/week17a/XML.zip;20110622_001255
week17a_38_28096_4418742;IEEEper/week17a/38.zip;20110622_001255
week17a_38_28489_1255803;InspecMetadata/week17a/XML.zip;20110622_001255
week17a_38_28489_1255803;IEEEper/week17a/38.zip;20110622_001255
week17a_38_28513_4797510;InspecMetadata/week17a/XML.zip;20110622_001256
week17a_38_28513_4797510;IEEEper/week17a/38.zip;20110622_001256
week17a_38_30111_1159609;InspecMetadata/week17a/XML.zip;20110622_001256
week17a_38_30111_1159609;IEEEper/week17a/38.zip;20110622_001256
week17a_38_30111_1255803;InspecMetadata/week17a/XML.zip;20110622_001256
