publisher_docid;batchid_in;time_stamp
week17b_10133_32429_1514002;InspecMetadata/week17b/XML.zip;20110622_005917
week17b_10133_32429_1514002;IEEEcnf/week17b/10133.zip;20110622_005917
week17b_10231_32631_1527949;InspecMetadata/week17b/XML.zip;20110622_005918
week17b_10231_32631_1527949;IEEEcnf/week17b/10231.zip;20110622_005918
week17b_1028_5760826_5760827;InspecMetadata/week17b/XML.zip;20110622_005919
week17b_1028_5760826_5760827;IEEEcnf/week17b/1028.zip;20110622_005919
week17b_1028_5760826_5760828;InspecMetadata/week17b/XML.zip;20110622_005921
week17b_1028_5760826_5760828;IEEEcnf/week17b/1028.zip;20110622_005921
week17b_1028_5760826_5760829;InspecMetadata/week17b/XML.zip;20110622_005922
week17b_1028_5760826_5760829;IEEEcnf/week17b/1028.zip;20110622_005922
week17b_1028_5760826_5760830;InspecMetadata/week17b/XML.zip;20110622_005922
week17b_1028_5760826_5760830;IEEEcnf/week17b/1028.zip;20110622_005922
week17b_1028_5760826_5760831;InspecMetadata/week17b/XML.zip;20110622_005922
week17b_1028_5760826_5760831;IEEEcnf/week17b/1028.zip;20110622_005922
week17b_1028_5760826_5760832;InspecMetadata/week17b/XML.zip;20110622_005923
week17b_1028_5760826_5760832;IEEEcnf/week17b/1028.zip;20110622_005923
week17b_1028_5760826_5760833;InspecMetadata/week17b/XML.zip;20110622_005924
week17b_1028_5760826_5760833;IEEEcnf/week17b/1028.zip;20110622_005924
week17b_1028_5760826_5760834;InspecMetadata/week17b/XML.zip;20110622_005924
week17b_1028_5760826_5760834;IEEEcnf/week17b/1028.zip;20110622_005924
week17b_1028_5760826_5760835;InspecMetadata/week17b/XML.zip;20110622_005924
week17b_1028_5760826_5760835;IEEEcnf/week17b/1028.zip;20110622_005924
week17b_1028_5760826_5760836;InspecMetadata/week17b/XML.zip;20110622_005924
week17b_1028_5760826_5760836;IEEEcnf/week17b/1028.zip;20110622_005924
week17b_1028_5760826_5760837;InspecMetadata/week17b/XML.zip;20110622_005925
week17b_1028_5760826_5760837;IEEEcnf/week17b/1028.zip;20110622_005925
week17b_1028_5760826_5760838;InspecMetadata/week17b/XML.zip;20110622_005925
week17b_1028_5760826_5760838;IEEEcnf/week17b/1028.zip;20110622_005925
week17b_1028_5760826_5760839;InspecMetadata/week17b/XML.zip;20110622_005925
week17b_1028_5760826_5760839;IEEEcnf/week17b/1028.zip;20110622_005925
week17b_1028_5760826_5760840;InspecMetadata/week17b/XML.zip;20110622_005925
week17b_1028_5760826_5760840;IEEEcnf/week17b/1028.zip;20110622_005925
week17b_1028_5760826_5760841;InspecMetadata/week17b/XML.zip;20110622_005926
week17b_1028_5760826_5760841;IEEEcnf/week17b/1028.zip;20110622_005926
week17b_1028_5760826_5760842;InspecMetadata/week17b/XML.zip;20110622_005927
week17b_1028_5760826_5760842;IEEEcnf/week17b/1028.zip;20110622_005927
week17b_1028_5760826_5760843;InspecMetadata/week17b/XML.zip;20110622_005927
week17b_1028_5760826_5760843;IEEEcnf/week17b/1028.zip;20110622_005927
week17b_1028_5760826_5760844;InspecMetadata/week17b/XML.zip;20110622_005927
week17b_1028_5760826_5760844;IEEEcnf/week17b/1028.zip;20110622_005927
week17b_1028_5760826_5760845;InspecMetadata/week17b/XML.zip;20110622_005927
week17b_1028_5760826_5760845;IEEEcnf/week17b/1028.zip;20110622_005927
week17b_1028_5760826_5760846;InspecMetadata/week17b/XML.zip;20110622_005927
week17b_1028_5760826_5760846;IEEEcnf/week17b/1028.zip;20110622_005927
week17b_1028_5760826_5760847;InspecMetadata/week17b/XML.zip;20110622_005928
week17b_1028_5760826_5760847;IEEEcnf/week17b/1028.zip;20110622_005928
week17b_1028_5760826_5760848;InspecMetadata/week17b/XML.zip;20110622_005928
week17b_1028_5760826_5760848;IEEEcnf/week17b/1028.zip;20110622_005928
week17b_1028_5760826_5760849;InspecMetadata/week17b/XML.zip;20110622_005928
week17b_1028_5760826_5760849;IEEEcnf/week17b/1028.zip;20110622_005928
