publisher_docid;batchid_out;status;time_stamp
week17b_10133_32429_1514002;week17b.zip;ok;20110622_005918
week17b_10231_32631_1527949;week17b.zip;ok;20110622_005918
week17b_1028_5760826_5760827;week17b.zip;ok;20110622_005921
week17b_1028_5760826_5760828;week17b.zip;ok;20110622_005921
week17b_1028_5760826_5760829;week17b.zip;ok;20110622_005922
week17b_1028_5760826_5760830;week17b.zip;ok;20110622_005922
week17b_1028_5760826_5760831;week17b.zip;ok;20110622_005923
week17b_1028_5760826_5760832;week17b.zip;ok;20110622_005924
week17b_1028_5760826_5760833;week17b.zip;ok;20110622_005924
week17b_1028_5760826_5760834;week17b.zip;ok;20110622_005924
week17b_1028_5760826_5760835;week17b.zip;ok;20110622_005924
week17b_1028_5760826_5760836;week17b.zip;ok;20110622_005925
week17b_1028_5760826_5760837;week17b.zip;ok;20110622_005925
week17b_1028_5760826_5760838;week17b.zip;ok;20110622_005925
week17b_1028_5760826_5760839;week17b.zip;ok;20110622_005925
week17b_1028_5760826_5760840;week17b.zip;ok;20110622_005926
week17b_1028_5760826_5760841;week17b.zip;ok;20110622_005926
week17b_1028_5760826_5760842;week17b.zip;ok;20110622_005927
week17b_1028_5760826_5760843;week17b.zip;ok;20110622_005927
week17b_1028_5760826_5760844;week17b.zip;ok;20110622_005927
week17b_1028_5760826_5760845;week17b.zip;ok;20110622_005927
week17b_1028_5760826_5760846;week17b.zip;ok;20110622_005927
week17b_1028_5760826_5760847;week17b.zip;ok;20110622_005928
week17b_1028_5760826_5760848;week17b.zip;ok;20110622_005928
week17b_1028_5760826_5760849;week17b.zip;ok;20110622_005929
week17b_1028_5760826_5760850;week17b.zip;ok;20110622_005929
week17b_1028_5760826_5760851;week17b.zip;ok;20110622_005929
week17b_1028_5760826_5760852;week17b.zip;ok;20110622_005929
week17b_1028_5760826_5760853;week17b.zip;ok;20110622_005929
week17b_1028_5760826_5760854;week17b.zip;ok;20110622_005930
week17b_1028_5760826_5760855;week17b.zip;ok;20110622_005930
week17b_1028_5760826_5760856;week17b.zip;ok;20110622_005930
week17b_1028_5760826_5760857;week17b.zip;ok;20110622_005931
week17b_1028_5760826_5760858;week17b.zip;ok;20110622_005931
week17b_1028_5760826_5760859;week17b.zip;ok;20110622_005932
week17b_1028_5760826_5760860;week17b.zip;ok;20110622_005932
week17b_1028_5760826_5760861;week17b.zip;ok;20110622_005932
week17b_1028_5760826_5760862;week17b.zip;ok;20110622_005932
week17b_1028_5760826_5760863;week17b.zip;ok;20110622_005933
week17b_1028_5760826_5760864;week17b.zip;ok;20110622_005933
week17b_1028_5760826_5760865;week17b.zip;ok;20110622_005934
week17b_1028_5760826_5760866;week17b.zip;ok;20110622_005934
week17b_1028_5760826_5760867;week17b.zip;ok;20110622_005934
week17b_1028_5760826_5760868;week17b.zip;ok;20110622_005934
week17b_1028_5760826_5760869;week17b.zip;ok;20110622_005934
week17b_1028_5760826_5760870;week17b.zip;ok;20110622_005935
week17b_1028_5760826_5760871;week17b.zip;ok;20110622_005935
week17b_1028_5760826_5760872;week17b.zip;ok;20110622_005936
week17b_1028_5760826_5760873;week17b.zip;ok;20110622_005936
week17b_1028_5760826_5760874;week17b.zip;ok;20110622_005937
week17b_1028_5760826_5760875;week17b.zip;ok;20110622_005937
week17b_1028_5760826_5760876;week17b.zip;ok;20110622_005937
week17b_1028_5760826_5760877;week17b.zip;ok;20110622_005937
week17b_1028_5760826_5760878;week17b.zip;ok;20110622_005937
week17b_1028_5760826_5760879;week17b.zip;ok;20110622_005938
week17b_1028_5760826_5760880;week17b.zip;ok;20110622_005938
week17b_1028_5760826_5760881;week17b.zip;ok;20110622_005939
week17b_1028_5760826_5760882;week17b.zip;ok;20110622_005939
week17b_1028_5760826_5760883;week17b.zip;ok;20110622_005939
week17b_1028_5760826_5760884;week17b.zip;ok;20110622_005939
week17b_1028_5760826_5760885;week17b.zip;ok;20110622_005939
week17b_1028_5760826_5760886;week17b.zip;ok;20110622_005940
week17b_1028_5760826_5760887;week17b.zip;ok;20110622_005940
week17b_1028_5760826_5760888;week17b.zip;ok;20110622_005940
week17b_1028_5760826_5760889;week17b.zip;ok;20110622_005940
week17b_1028_5760826_5760890;week17b.zip;ok;20110622_005941
week17b_1028_5760826_5760891;week17b.zip;ok;20110622_005941
week17b_1028_5760826_5760892;week17b.zip;ok;20110622_005941
week17b_1028_5760826_5760893;week17b.zip;ok;20110622_005942
week17b_1028_5760826_5760894;week17b.zip;ok;20110622_005942
week17b_1028_5760826_5760895;week17b.zip;ok;20110622_005942
week17b_1028_5760826_5760896;week17b.zip;ok;20110622_005942
week17b_1028_5760826_5760897;week17b.zip;ok;20110622_005942
week17b_1028_5760826_5760898;week17b.zip;ok;20110622_005943
week17b_1028_5760826_5760899;week17b.zip;ok;20110622_005943
week17b_1028_5760826_5760900;week17b.zip;ok;20110622_005944
week17b_1028_5760826_5760901;week17b.zip;ok;20110622_005944
week17b_1028_5760826_5760902;week17b.zip;ok;20110622_005944
week17b_1028_5760826_5760903;week17b.zip;ok;20110622_005944
week17b_1028_5760826_5760904;week17b.zip;ok;20110622_005944
week17b_1028_5760826_5760905;week17b.zip;ok;20110622_005945
week17b_1028_5760826_5760906;week17b.zip;ok;20110622_005945
week17b_1028_5760826_5760907;week17b.zip;ok;20110622_005945
week17b_1028_5760826_5760908;week17b.zip;ok;20110622_005946
week17b_1028_5760826_5760909;week17b.zip;ok;20110622_005946
week17b_1028_5760826_5760910;week17b.zip;ok;20110622_005946
week17b_1028_5760826_5760911;week17b.zip;ok;20110622_005947
week17b_1028_5760826_5760912;week17b.zip;ok;20110622_005947
week17b_1028_5760826_5760913;week17b.zip;ok;20110622_005947
week17b_1028_5760826_5760914;week17b.zip;ok;20110622_005947
week17b_1028_5760826_5760915;week17b.zip;ok;20110622_005948
