publisher_docid;XP;batchid;time_stamp
week4a_4231800_4231801_4231843;XP031880897;IEEECONFERENCE_week4a.xml;20110728_064653
week4a_4231800_4231801_4231843;XP031880897;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064653
week4a_4231800_4231801_4231843;XP031880897;XP031880897.pdf;20110728_064653
week4a_4447704_4447779_4447710;XP031880898;IEEECONFERENCE_week4a.xml;20110728_064653
week4a_4447704_4447779_4447710;XP031880898;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064653
week4a_4447704_4447779_4447710;XP031880898;XP031880898.pdf;20110728_064653
week4a_4447704_4447779_4447711;XP031880899;IEEECONFERENCE_week4a.xml;20110728_064653
week4a_4447704_4447779_4447711;XP031880899;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064653
week4a_4447704_4447779_4447711;XP031880899;XP031880899.pdf;20110728_064653
week4a_4447704_4447779_4447712;XP031880900;IEEECONFERENCE_week4a.xml;20110728_064653
week4a_4447704_4447779_4447712;XP031880900;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064653
week4a_4447704_4447779_4447712;XP031880900;XP031880900.pdf;20110728_064653
week4a_4447704_4447779_4447713;XP031880901;IEEECONFERENCE_week4a.xml;20110728_064653
week4a_4447704_4447779_4447713;XP031880901;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064653
week4a_4447704_4447779_4447713;XP031880901;XP031880901.pdf;20110728_064653
week4a_4447704_4447779_4447714;XP031880902;IEEECONFERENCE_week4a.xml;20110728_064653
week4a_4447704_4447779_4447714;XP031880902;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064653
week4a_4447704_4447779_4447714;XP031880902;XP031880902.pdf;20110728_064653
week4a_4447704_4447779_4447715;XP031880903;IEEECONFERENCE_week4a.xml;20110728_064653
week4a_4447704_4447779_4447715;XP031880903;P1X.DF.PX.IEEECONF.D110728.G03.xml;20110728_064653
week4a_4447704_4447779_4447715;XP031880903;XP031880903.pdf;20110728_064653
week4a_4447704_4447779_4447716;XP031880904;IEEECONFERENCE_week4a.xml;20110728_064653
