publisher_docid;XP;batchid;time_stamp
week4b_10231_32630_1527833;XP031887283;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527833;XP031887283;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527833;XP031887283;XP031887283.pdf;20110729_061254
week4b_10231_32630_1527834;XP031887284;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527834;XP031887284;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527834;XP031887284;XP031887284.pdf;20110729_061254
week4b_10231_32630_1527835;XP031887285;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527835;XP031887285;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527835;XP031887285;XP031887285.pdf;20110729_061254
week4b_10231_32630_1527836;XP031887286;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527836;XP031887286;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527836;XP031887286;XP031887286.pdf;20110729_061254
week4b_10231_32630_1527837;XP031887287;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527837;XP031887287;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527837;XP031887287;XP031887287.pdf;20110729_061254
week4b_10231_32630_1527838;XP031887288;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527838;XP031887288;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527838;XP031887288;XP031887288.pdf;20110729_061254
week4b_10231_32630_1527839;XP031887289;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527839;XP031887289;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527839;XP031887289;XP031887289.pdf;20110729_061254
week4b_10231_32630_1527840;XP031887290;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527840;XP031887290;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527840;XP031887290;XP031887290.pdf;20110729_061254
week4b_10231_32630_1527841;XP031887291;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527841;XP031887291;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527841;XP031887291;XP031887291.pdf;20110729_061254
week4b_10231_32630_1527842;XP031887292;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527842;XP031887292;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527842;XP031887292;XP031887292.pdf;20110729_061254
week4b_10231_32630_1527843;XP031887293;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527843;XP031887293;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527843;XP031887293;XP031887293.pdf;20110729_061254
week4b_10231_32630_1527844;XP031887294;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527844;XP031887294;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527844;XP031887294;XP031887294.pdf;20110729_061254
week4b_10231_32630_1527845;XP031887295;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527845;XP031887295;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527845;XP031887295;XP031887295.pdf;20110729_061254
week4b_10231_32630_1527846;XP031887296;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527846;XP031887296;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527846;XP031887296;XP031887296.pdf;20110729_061254
week4b_10231_32630_1527847;XP031887297;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527847;XP031887297;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527847;XP031887297;XP031887297.pdf;20110729_061254
week4b_10231_32630_1527848;XP031887298;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527848;XP031887298;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527848;XP031887298;XP031887298.pdf;20110729_061254
week4b_10231_32630_1527849;XP031887299;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527849;XP031887299;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527849;XP031887299;XP031887299.pdf;20110729_061254
week4b_10231_32630_1527850;XP031887300;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527850;XP031887300;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527850;XP031887300;XP031887300.pdf;20110729_061254
week4b_10231_32630_1527851;XP031887301;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527851;XP031887301;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527851;XP031887301;XP031887301.pdf;20110729_061254
week4b_10231_32630_1527852;XP031887302;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527852;XP031887302;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527852;XP031887302;XP031887302.pdf;20110729_061254
week4b_10231_32630_1527853;XP031887303;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527853;XP031887303;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527853;XP031887303;XP031887303.pdf;20110729_061254
week4b_10231_32630_1527854;XP031887304;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527854;XP031887304;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527854;XP031887304;XP031887304.pdf;20110729_061254
week4b_10231_32630_1527855;XP031887305;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527855;XP031887305;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527855;XP031887305;XP031887305.pdf;20110729_061254
week4b_10231_32630_1527856;XP031887306;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527856;XP031887306;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527856;XP031887306;XP031887306.pdf;20110729_061254
week4b_10231_32630_1527857;XP031887307;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527857;XP031887307;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527857;XP031887307;XP031887307.pdf;20110729_061254
week4b_10231_32630_1527858;XP031887308;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527858;XP031887308;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527858;XP031887308;XP031887308.pdf;20110729_061254
week4b_10231_32630_1527859;XP031887309;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527859;XP031887309;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527859;XP031887309;XP031887309.pdf;20110729_061254
week4b_10231_32630_1527860;XP031887310;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527860;XP031887310;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527860;XP031887310;XP031887310.pdf;20110729_061254
week4b_10231_32630_1527861;XP031887311;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527861;XP031887311;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527861;XP031887311;XP031887311.pdf;20110729_061254
week4b_10231_32630_1527862;XP031887312;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527862;XP031887312;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527862;XP031887312;XP031887312.pdf;20110729_061254
week4b_10231_32630_1527863;XP031887313;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527863;XP031887313;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527863;XP031887313;XP031887313.pdf;20110729_061254
week4b_10231_32630_1527864;XP031887314;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527864;XP031887314;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527864;XP031887314;XP031887314.pdf;20110729_061254
week4b_10231_32630_1527865;XP031887315;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527865;XP031887315;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527865;XP031887315;XP031887315.pdf;20110729_061254
week4b_10231_32630_1527866;XP031887316;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527866;XP031887316;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527866;XP031887316;XP031887316.pdf;20110729_061254
week4b_10231_32630_1527867;XP031887317;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527867;XP031887317;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527867;XP031887317;XP031887317.pdf;20110729_061254
week4b_10231_32630_1527868;XP031887318;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527868;XP031887318;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527868;XP031887318;XP031887318.pdf;20110729_061254
week4b_10231_32630_1527869;XP031887319;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10231_32630_1527869;XP031887319;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
week4b_10231_32630_1527869;XP031887319;XP031887319.pdf;20110729_061254
week4b_10523_33303_1574936;XP031887320;IEEECONFERENCE_week4b.xml;20110729_061254
week4b_10523_33303_1574936;XP031887320;P1X.DF.PX.IEEECONF.D110729.G01.xml;20110729_061254
